Average of Income,Column Labels,,
Row Labels,No,Yes,Grand Total
Female," 54,885 "," 59,259 "," 56,862 "
Male," 59,432 "," 61,301 "," 60,201 "
Grand Total," 57,492 "," 60,346 "," 58,717 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Count of Purchased Bike,Column Labels,,
Row Labels,No,Yes,Grand Total
0-1 Miles,107,98,205
1-2 Miles,50,38,88
2-5 Miles,37,44,81
5-10 Miles,63,38,101
More than 10 Miles,50,13,63
Grand Total,307,231,538
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Count of Purchased Bike,Column Labels,,
Row Labels,No,Yes,Grand Total
Adolescent,24,14,38
Middle Age,187,185,372
Old,96,32,128
Grand Total,307,231,538
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Count of Purchased Bike,Column Labels,,
Row Labels,No,Yes,Grand Total
25,1,2,3
26,1,4,5
27,6,4,10
28,4,3,7
29,4,1,5
30,8,,8
31,5,,5
32,10,8,18
33,3,5,8
34,5,11,16
35,4,13,17
36,3,13,16
37,3,12,15
38,3,10,13
39,6,2,8
40,15,10,25
41,10,4,14
42,13,5,18
43,10,10,20
44,8,8,16
45,12,8,20
46,12,7,19
47,14,9,23
48,10,11,21
49,10,5,15
50,5,8,13
51,6,7,13
52,6,7,13
53,9,5,14
54,5,7,12
55,11,4,15
56,8,3,11
57,,4,4
58,6,2,8
59,12,2,14
60,8,,8
61,4,3,7
62,5,,5
63,5,1,6
64,7,3,10
65,5,1,6
66,6,4,10
67,4,1,5
68,1,,1
69,7,,7
70,3,1,4
71,1,,1
72,,1,1
73,1,1,2
78,,1,1
80,1,,1
89,1,,1
Grand Total,307,231,538
